n_scan,static_ESS_mg,flowing_ESS_mg,static_sampling_variance_mg_g_sq,static_instrument_variance_mg_g_sq,static_total_variance_mg_g_sq,static_total_sd_mg_g,flowing_sampling_variance_mg_g_sq,flowing_instrument_variance_mg_g_sq,flowing_total_variance_mg_g_sq,flowing_total_sd_mg_g
46,25.0,1150.0,1.44,0.17695652173913043,1.6169565217391304,1.271596052895388,0.03130434782608696,0.17695652173913043,0.2082608695652174,0.45635607760302416
47,25.0,1175.0,1.44,0.17510638297872338,1.6151063829787233,1.270868357847784,0.030638297872340424,0.17510638297872338,0.20574468085106382,0.4535908738621885
48,25.0,1200.0,1.44,0.17333333333333334,1.6133333333333333,1.2701705922171767,0.03,0.17333333333333334,0.20333333333333334,0.4509249752822894
49,25.0,1225.0,1.44,0.1716326530612245,1.6116326530612244,1.2695009464593654,0.029387755102040815,0.1716326530612245,0.2010204081632653,0.44835299504214904
50,25.0,1250.0,1.44,0.16999999999999998,1.6099999999999999,1.268857754044952,0.0288,0.16999999999999998,0.19879999999999998,0.44586993619215903
51,25.0,1275.0,1.44,0.1684313725490196,1.6084313725490196,1.2682394776023256,0.02823529411764706,0.1684313725490196,0.19666666666666666,0.443471156521669
52,25.0,1300.0,1.44,0.16692307692307692,1.606923076923077,1.267644696641404,0.027692307692307693,0.16692307692307692,0.1946153846153846,0.4411523371981436
53,25.0,1325.0,1.44,0.16547169811320755,1.6054716981132076,1.2670720966516498,0.027169811320754716,0.16547169811320755,0.19264150943396227,0.4389094547101512
54,25.0,1350.0,1.44,0.16407407407407407,1.604074074074074,1.2665204593981394,0.02666666666666667,0.16407407407407407,0.19074074074074074,0.4367387557118566
55,25.0,1375.0,1.44,0.16272727272727272,1.6027272727272726,1.2659886542648289,0.02618181818181818,0.16272727272727272,0.18890909090909092,0.4346367344220814
56,25.0,1400.0,1.44,0.16142857142857142,1.6014285714285714,1.2654756305154877,0.025714285714285714,0.16142857142857142,0.18714285714285714,0.4326001122779063
57,25.0,1425.0,1.44,0.16017543859649122,1.6001754385964913,1.2649804103607658,0.02526315789473684,0.16017543859649122,0.18543859649122807,0.4306258195826489
58,25.0,1450.0,1.44,0.1589655172413793,1.5989655172413793,1.2645020827350895,0.02482758620689655,0.1589655172413793,0.18379310344827585,0.42871097892201904
59,25.0,1475.0,1.44,0.15779661016949154,1.5977966101694916,1.2640397977000137,0.02440677966101695,0.15779661016949154,0.1822033898305085,0.42685289015128913
60,25.0,1500.0,1.44,0.15666666666666668,1.5966666666666667,1.2635927614016578,0.024,0.15666666666666668,0.18066666666666667,0.42504901678120216
61,25.0,1525.0,1.44,0.15557377049180326,1.5955737704918032,1.263160231519265,0.02360655737704918,0.15557377049180326,0.17918032786885243,0.4232969736117333
62,25.0,1550.0,1.44,0.15451612903225806,1.594516129032258,1.2627415131499629,0.023225806451612905,0.15451612903225806,0.17774193548387096,0.4215945154812512
63,25.0,1575.0,1.44,0.15349206349206349,1.5934920634920635,1.2623359550817141,0.022857142857142857,0.15349206349206349,0.17634920634920634,0.41993952701455284
64,25.0,1600.0,1.44,0.1525,1.5925,1.2619429464123963,0.0225,0.1525,0.175,0.4183300132670378
65,25.0,1625.0,1.44,0.15153846153846154,1.5915384615384616,1.261561913478075,0.022153846153846152,0.15153846153846154,0.1736923076923077,0.41676409117426094
66,25.0,1650.0,1.44,0.1506060606060606,1.5906060606060606,1.2611923170579737,0.02181818181818182,0.1506060606060606,0.17242424242424242,0.4152399817265221
67,25.0,1675.0,1.44,0.14970149253731344,1.5897014925373134,1.2608336498274915,0.021492537313432834,0.14970149253731344,0.17119402985074628,0.4137560027972359
68,25.0,1700.0,1.44,0.1488235294117647,1.5888235294117647,1.2604854340339537,0.021176470588235293,0.1488235294117647,0.16999999999999998,0.412310562561766
69,25.0,1725.0,1.44,0.14797101449275363,1.5879710144927537,1.2601472193727024,0.020869565217391306,0.14797101449275363,0.16884057971014493,0.41090215345036213
70,25.0,1750.0,1.44,0.14714285714285713,1.5871428571428572,1.2598185810436586,0.02057142857142857,0.14714285714285713,0.1677142857142857,0.40952934658493734
71,25.0,1775.0,1.44,0.1463380281690141,1.586338028169014,1.259499117970717,0.02028169014084507,0.1463380281690141,0.16661971830985917,0.4081907866547935
72,25.0,1800.0,1.44,0.14555555555555555,1.5855555555555556,1.2591884511682736,0.02,0.14555555555555555,0.16555555555555554,0.40688518719112343
73,25.0,1825.0,1.44,0.1447945205479452,1.5847945205479452,1.2588862222408923,0.019726027397260273,0.1447945205479452,0.1645205479452055,0.40561132620429313
74,25.0,1850.0,1.44,0.14405405405405405,1.584054054054054,1.2585920920036222,0.01945945945945946,0.14405405405405405,0.1635135135135135,0.4043680421515943
75,25.0,1875.0,1.44,0.14333333333333334,1.5833333333333333,1.2583057392117916,0.0192,0.14333333333333334,0.16253333333333334,0.40315423020642277
76,25.0,1900.0,1.44,0.14263157894736841,1.5826315789473684,1.2580268593902788,0.018947368421052633,0.14263157894736841,0.16157894736842104,0.40196883880273737
77,25.0,1925.0,1.44,0.14194805194805193,1.5819480519480518,1.2577551637532847,0.0187012987012987,0.14194805194805193,0.16064935064935063,0.40081086643122665
78,25.0,1950.0,1.44,0.1412820512820513,1.5812820512820513,1.2574903782065496,0.018461538461538463,0.1412820512820513,0.15974358974358976,0.3996793586659058
79,25.0,1975.0,1.44,0.14063291139240505,1.580632911392405,1.2572322424247657,0.018227848101265823,0.14063291139240505,0.15886075949367087,0.39857340540190445
80,25.0,2000.0,1.44,0.14,1.58,1.2569805089976536,0.018,0.14,0.158,0.39749213828703583
81,25.0,2025.0,1.44,0.1393827160493827,1.5793827160493827,1.256734942638814,0.017777777777777778,0.1393827160493827,0.1571604938271605,0.3964347283313616
82,25.0,2050.0,1.44,0.13878048780487806,1.578780487804878,1.2564953194520376,0.0175609756097561,0.13878048780487806,0.15634146341463417,0.3954003836804337
83,25.0,2075.0,1.44,0.13819277108433736,1.5781927710843373,1.25626142625026,0.017349397590361446,0.13819277108433736,0.1555421686746988,0.3943883475391975
84,25.0,2100.0,1.44,0.1376190476190476,1.5776190476190475,1.2560330599228062,0.017142857142857144,0.1376190476190476,0.15476190476190477,0.3933978962347216
85,25.0,2125.0,1.44,0.13705882352941176,1.5770588235294116,1.2558100268469796,0.016941176470588234,0.13705882352941176,0.154,0.3924283374069717
