ESS_mg,sigma_floor_variance_mg_g_sq,k,b,observed_variance_mg_g_sq,observed_sd_mg_g
816.0,0.16,36.0,1.0,0.20411764705882354,0.4517938103369982
817.0,0.16,36.0,1.0,0.20406364749082007,0.451734045087173
818.0,0.16,36.0,1.0,0.20400977995110026,0.4516744180835353
819.0,0.16,36.0,1.0,0.20395604395604397,0.45161492884540916
820.0,0.16,36.0,1.0,0.20390243902439026,0.4515555768943511
821.0,0.16,36.0,1.0,0.2038489646772229,0.45149636175413743
822.0,0.16,36.0,1.0,0.2037956204379562,0.45143728295075075
823.0,0.16,36.0,1.0,0.20374240583232078,0.4513783400123679
824.0,0.16,36.0,1.0,0.20368932038834953,0.45131953246934653
825.0,0.16,36.0,1.0,0.20363636363636364,0.451260859854213
826.0,0.16,36.0,1.0,0.20358353510895882,0.45120232170164953
827.0,0.16,36.0,1.0,0.20353083434099153,0.451143917548482
828.0,0.16,36.0,1.0,0.20347826086956522,0.4510856469336674
829.0,0.16,36.0,1.0,0.2034258142340169,0.4510275093982815
830.0,0.16,36.0,1.0,0.20337349397590362,0.4509695044855069
831.0,0.16,36.0,1.0,0.20332129963898918,0.45091163174062077
832.0,0.16,36.0,1.0,0.20326923076923076,0.45085389071098275
833.0,0.16,36.0,1.0,0.20321728691476593,0.45079628094602325
834.0,0.16,36.0,1.0,0.2031654676258993,0.4507388019972313
835.0,0.16,36.0,1.0,0.20311377245508982,0.45068145341814303
836.0,0.16,36.0,1.0,0.2030622009569378,0.4506242347643298
837.0,0.16,36.0,1.0,0.20301075268817204,0.4505671455933866
838.0,0.16,36.0,1.0,0.20295942720763724,0.45051018546492066
839.0,0.16,36.0,1.0,0.20290822407628128,0.45045335394053987
840.0,0.16,36.0,1.0,0.20285714285714285,0.4503966505838413
841.0,0.16,36.0,1.0,0.20280618311533888,0.4503400749604002
842.0,0.16,36.0,1.0,0.20275534441805226,0.45028362663775845
843.0,0.16,36.0,1.0,0.20270462633451958,0.45022730518541365
844.0,0.16,36.0,1.0,0.20265402843601896,0.4501711101748078
845.0,0.16,36.0,1.0,0.202603550295858,0.4501150411793167
846.0,0.16,36.0,1.0,0.2025531914893617,0.45005909777423864
847.0,0.16,36.0,1.0,0.2025029515938607,0.4500032795367837
848.0,0.16,36.0,1.0,0.20245283018867924,0.44994758604606294
849.0,0.16,36.0,1.0,0.20240282685512367,0.44989201688307795
850.0,0.16,36.0,1.0,0.2023529411764706,0.44983657163070967
851.0,0.16,36.0,1.0,0.20230317273795534,0.44978124987370843
852.0,0.16,36.0,1.0,0.20225352112676057,0.44972605119868314
853.0,0.16,36.0,1.0,0.2022039859320047,0.4496709751940909
854.0,0.16,36.0,1.0,0.20215456674473067,0.44961602145022667
855.0,0.16,36.0,1.0,0.20210526315789473,0.4495611895592131
856.0,0.16,36.0,1.0,0.20205607476635515,0.44950647911499025
857.0,0.16,36.0,1.0,0.20200700116686116,0.4494518897133053
858.0,0.16,36.0,1.0,0.20195804195804196,0.44939742095170276
859.0,0.16,36.0,1.0,0.2019091967403958,0.4493430724295144
860.0,0.16,36.0,1.0,0.2018604651162791,0.449288843747849
861.0,0.16,36.0,1.0,0.2018118466898955,0.44923473450958296
862.0,0.16,36.0,1.0,0.20176334106728538,0.4491807443193501
863.0,0.16,36.0,1.0,0.2017149478563152,0.4491268727835323
864.0,0.16,36.0,1.0,0.20166666666666666,0.4490731195102493
865.0,0.16,36.0,1.0,0.2016184971098266,0.4490194841093498
866.0,0.16,36.0,1.0,0.2015704387990762,0.44896596619240103
867.0,0.16,36.0,1.0,0.20152249134948097,0.4489125653726803
868.0,0.16,36.0,1.0,0.2014746543778802,0.44885928126516467
869.0,0.16,36.0,1.0,0.20142692750287688,0.448806113486522
870.0,0.16,36.0,1.0,0.2013793103448276,0.4487530616551018
871.0,0.16,36.0,1.0,0.20133180252583238,0.44870012539092563
872.0,0.16,36.0,1.0,0.20128440366972478,0.44864730431567823
873.0,0.16,36.0,1.0,0.20123711340206185,0.4485945980526982
874.0,0.16,36.0,1.0,0.20118993135011443,0.44854200622696916
875.0,0.16,36.0,1.0,0.20114285714285715,0.4484895284651105
876.0,0.16,36.0,1.0,0.2010958904109589,0.4484371643953687
877.0,0.16,36.0,1.0,0.2010490307867731,0.44838491364760824
878.0,0.16,36.0,1.0,0.201002277904328,0.448332775853303
879.0,0.16,36.0,1.0,0.2009556313993174,0.4482807506455273
880.0,0.16,36.0,1.0,0.20090909090909093,0.4482288376589473
881.0,0.16,36.0,1.0,0.20086265607264472,0.44817703652981233
882.0,0.16,36.0,1.0,0.20081632653061224,0.44812534689594635
883.0,0.16,36.0,1.0,0.20077010192525482,0.44807376839673935
884.0,0.16,36.0,1.0,0.20072398190045249,0.4480223006731389
885.0,0.16,36.0,1.0,0.20067796610169492,0.44797094336764176
886.0,0.16,36.0,1.0,0.20063205417607224,0.4479196961242855
887.0,0.16,36.0,1.0,0.20058624577226608,0.44786855858864
888.0,0.16,36.0,1.0,0.20054054054054055,0.44781753040779965
889.0,0.16,36.0,1.0,0.20049493813273342,0.4477666112303746
890.0,0.16,36.0,1.0,0.2004494382022472,0.447715800706483
891.0,0.16,36.0,1.0,0.20040404040404042,0.4476650984877428
892.0,0.16,36.0,1.0,0.20035874439461884,0.44761450422726345
893.0,0.16,36.0,1.0,0.20031354983202687,0.4475640175796384
894.0,0.16,36.0,1.0,0.20026845637583893,0.44751363820093676
895.0,0.16,36.0,1.0,0.20022346368715083,0.4474633657486955
896.0,0.16,36.0,1.0,0.20017857142857143,0.44741319988191164
897.0,0.16,36.0,1.0,0.20013377926421405,0.4473631402610345
898.0,0.16,36.0,1.0,0.2000890868596882,0.44731318654795793
899.0,0.16,36.0,1.0,0.20004449388209122,0.44726333840601246
900.0,0.16,36.0,1.0,0.2,0.4472135954999579
901.0,0.16,36.0,1.0,0.1999556048834628,0.44716395749597576
902.0,0.16,36.0,1.0,0.19991130820399114,0.44711442406166135
903.0,0.16,36.0,1.0,0.1998671096345515,0.44706499486601664
904.0,0.16,36.0,1.0,0.19982300884955753,0.4470156695794427
905.0,0.16,36.0,1.0,0.19977900552486189,0.44696644787373235
906.0,0.16,36.0,1.0,0.19973509933774836,0.4469173294220625
907.0,0.16,36.0,1.0,0.19969128996692392,0.4468683138989874
908.0,0.16,36.0,1.0,0.19964757709251102,0.4468194009804308
909.0,0.16,36.0,1.0,0.19960396039603961,0.4467705903436792
910.0,0.16,36.0,1.0,0.19956043956043956,0.4467218816673743
911.0,0.16,36.0,1.0,0.19951701427003293,0.4466732746315062
912.0,0.16,36.0,1.0,0.1994736842105263,0.446624768917406
913.0,0.16,36.0,1.0,0.19943044906900328,0.44657636420773916
914.0,0.16,36.0,1.0,0.19938730853391684,0.44652806018649804
915.0,0.16,36.0,1.0,0.19934426229508198,0.44647985653899547
916.0,0.16,36.0,1.0,0.19930131004366813,0.4464317529518573
917.0,0.16,36.0,1.0,0.19925845147219193,0.4463837491130159
918.0,0.16,36.0,1.0,0.1992156862745098,0.4463358447117034
919.0,0.16,36.0,1.0,0.19917301414581068,0.4462880394384446
920.0,0.16,36.0,1.0,0.1991304347826087,0.44624033298505045
921.0,0.16,36.0,1.0,0.19908794788273615,0.4461927250446114
922.0,0.16,36.0,1.0,0.19904555314533623,0.44614521531149054
923.0,0.16,36.0,1.0,0.1990032502708559,0.4460978034813172
924.0,0.16,36.0,1.0,0.19896103896103895,0.44605048925098034
925.0,0.16,36.0,1.0,0.1989189189189189,0.446003272318622
926.0,0.16,36.0,1.0,0.1988768898488121,0.4459561523836308
927.0,0.16,36.0,1.0,0.1988349514563107,0.44590912914663533
928.0,0.16,36.0,1.0,0.19879310344827586,0.44586220230949813
929.0,0.16,36.0,1.0,0.198751345532831,0.4458153715753092
930.0,0.16,36.0,1.0,0.19870967741935486,0.44576863664837935
931.0,0.16,36.0,1.0,0.19866809881847475,0.4457219972342343
932.0,0.16,36.0,1.0,0.1986266094420601,0.4456754530396083
933.0,0.16,36.0,1.0,0.19858520900321544,0.44562900377243786
934.0,0.16,36.0,1.0,0.19854389721627408,0.4455826491418557
935.0,0.16,36.0,1.0,0.19850267379679146,0.4455363888581846
936.0,0.16,36.0,1.0,0.19846153846153847,0.44549022263293103
937.0,0.16,36.0,1.0,0.1984204909284952,0.44544415017877964
938.0,0.16,36.0,1.0,0.19837953091684435,0.44539817120958675
939.0,0.16,36.0,1.0,0.19833865814696486,0.4453522854403746
940.0,0.16,36.0,1.0,0.19829787234042554,0.44530649258732524
941.0,0.16,36.0,1.0,0.19825717321997877,0.44526079236777494
942.0,0.16,36.0,1.0,0.19821656050955413,0.44521518450020786
943.0,0.16,36.0,1.0,0.1981760339342524,0.4451696687042508
944.0,0.16,36.0,1.0,0.198135593220339,0.4451242447006667
945.0,0.16,36.0,1.0,0.1980952380952381,0.44507891221134943
946.0,0.16,36.0,1.0,0.19805496828752645,0.4450336709593179
947.0,0.16,36.0,1.0,0.19801478352692714,0.4449885206687102
948.0,0.16,36.0,1.0,0.1979746835443038,0.4449434610647782
949.0,0.16,36.0,1.0,0.19793466807165438,0.4448984918738817
950.0,0.16,36.0,1.0,0.19789473684210526,0.44485361282348296
951.0,0.16,36.0,1.0,0.19785488958990538,0.4448088236421411
952.0,0.16,36.0,1.0,0.19781512605042018,0.4447641240595066
953.0,0.16,36.0,1.0,0.19777544596012592,0.4447195138063158
954.0,0.16,36.0,1.0,0.19773584905660377,0.4446749926143855
955.0,0.16,36.0,1.0,0.19769633507853404,0.4446305602166073
956.0,0.16,36.0,1.0,0.1976569037656904,0.4445862163469425
957.0,0.16,36.0,1.0,0.19761755485893417,0.4445419607404167
958.0,0.16,36.0,1.0,0.19757828810020878,0.4444977931331142
959.0,0.16,36.0,1.0,0.1975391032325339,0.44445371326217303
960.0,0.16,36.0,1.0,0.1975,0.44440972086577946
961.0,0.16,36.0,1.0,0.19746097814776276,0.44436581568316297
962.0,0.16,36.0,1.0,0.19742203742203743,0.44432199745459083
963.0,0.16,36.0,1.0,0.19738317757009347,0.44427826592136316
964.0,0.16,36.0,1.0,0.19734439834024897,0.4442346208258075
965.0,0.16,36.0,1.0,0.19730569948186527,0.444191061911274
966.0,0.16,36.0,1.0,0.1972670807453416,0.44414758892213024
967.0,0.16,36.0,1.0,0.19722854188210961,0.4441042016037561
968.0,0.16,36.0,1.0,0.19719008264462812,0.4440608997025387
969.0,0.16,36.0,1.0,0.19715170278637772,0.44401768296586763
970.0,0.16,36.0,1.0,0.19711340206185568,0.44397455114212986
971.0,0.16,36.0,1.0,0.19707518022657056,0.44393150398070486
972.0,0.16,36.0,1.0,0.19703703703703704,0.44388854123195953
973.0,0.16,36.0,1.0,0.19699897225077082,0.4438456626472436
974.0,0.16,36.0,1.0,0.19696098562628336,0.4438028679788847
975.0,0.16,36.0,1.0,0.19692307692307692,0.4437601569801833
976.0,0.16,36.0,1.0,0.19688524590163936,0.44371752940540826
977.0,0.16,36.0,1.0,0.1968474923234391,0.4436749850097919
978.0,0.16,36.0,1.0,0.19680981595092026,0.4436325235495255
979.0,0.16,36.0,1.0,0.19677221654749744,0.44359014478175396
980.0,0.16,36.0,1.0,0.19673469387755102,0.4435478484645721
981.0,0.16,36.0,1.0,0.19669724770642202,0.44350563435701923
982.0,0.16,36.0,1.0,0.19665987780040733,0.44346350221907477
983.0,0.16,36.0,1.0,0.19662258392675483,0.4434214518116538
984.0,0.16,36.0,1.0,0.19658536585365854,0.4433794828966024
985.0,0.16,36.0,1.0,0.19654822335025382,0.44333759523669297
986.0,0.16,36.0,1.0,0.19651115618661258,0.44329578859561997
987.0,0.16,36.0,1.0,0.1964741641337386,0.4432540627379952
988.0,0.16,36.0,1.0,0.19643724696356274,0.44321241742934364
989.0,0.16,36.0,1.0,0.19640040444893833,0.44317085243609866
990.0,0.16,36.0,1.0,0.19636363636363635,0.44312936752559784
991.0,0.16,36.0,1.0,0.19632694248234106,0.44308796246607857
992.0,0.16,36.0,1.0,0.19629032258064516,0.4430466370266737
993.0,0.16,36.0,1.0,0.19625377643504532,0.4430053909774071
994.0,0.16,36.0,1.0,0.19621730382293762,0.4429642240891894
995.0,0.16,36.0,1.0,0.19618090452261305,0.4429231361338139
996.0,0.16,36.0,1.0,0.19614457831325302,0.44288212688395207
997.0,0.16,36.0,1.0,0.19610832497492478,0.4428411961131493
998.0,0.16,36.0,1.0,0.19607214428857717,0.44280034359582104
999.0,0.16,36.0,1.0,0.19603603603603603,0.4427595691072481
1000.0,0.16,36.0,1.0,0.196,0.4427188724235731
