ESS_mg,sigma_floor_variance_mg_g_sq,k,b,observed_variance_mg_g_sq,observed_sd_mg_g
173.0,0.16,36.0,1.0,0.368092485549133,0.6067062596917333
174.0,0.16,36.0,1.0,0.36689655172413793,0.6057198624150755
175.0,0.16,36.0,1.0,0.3657142857142857,0.6047431568147635
176.0,0.16,36.0,1.0,0.36454545454545456,0.6037759969934666
177.0,0.16,36.0,1.0,0.3633898305084746,0.6028182400263571
178.0,0.16,36.0,1.0,0.3622471910112359,0.6018697458846357
179.0,0.16,36.0,1.0,0.36111731843575423,0.600930377361433
180.0,0.16,36.0,1.0,0.36,0.6
181.0,0.16,36.0,1.0,0.35889502762430936,0.5990784820241079
182.0,0.16,36.0,1.0,0.3578021978021978,0.598165694270574
183.0,0.16,36.0,1.0,0.35672131147540986,0.59726151012384
184.0,0.16,36.0,1.0,0.3556521739130435,0.5963658054525288
185.0,0.16,36.0,1.0,0.35459459459459464,0.5954784585479097
186.0,0.16,36.0,1.0,0.35354838709677416,0.5945993500642043
187.0,0.16,36.0,1.0,0.35251336898395724,0.5937283629606701
188.0,0.16,36.0,1.0,0.35148936170212763,0.5928653824453977
189.0,0.16,36.0,1.0,0.3504761904761905,0.5920102959207639
190.0,0.16,36.0,1.0,0.3494736842105263,0.591162992930483
191.0,0.16,36.0,1.0,0.34848167539267016,0.5903233651082008
192.0,0.16,36.0,1.0,0.34750000000000003,0.5894913061275798
193.0,0.16,36.0,1.0,0.34652849740932645,0.5886667116538241
194.0,0.16,36.0,1.0,0.3455670103092784,0.5878494792965955
195.0,0.16,36.0,1.0,0.34461538461538466,0.5870395085642742
196.0,0.16,36.0,1.0,0.3436734693877551,0.5862367008195197
197.0,0.16,36.0,1.0,0.34274111675126906,0.5854409592360865
198.0,0.16,36.0,1.0,0.3418181818181818,0.5846521887568555
199.0,0.16,36.0,1.0,0.34090452261306536,0.5838702960530406
200.0,0.16,36.0,1.0,0.33999999999999997,0.58309518948453
201.0,0.16,36.0,1.0,0.3391044776119403,0.5823267790613277
202.0,0.16,36.0,1.0,0.3382178217821782,0.5815649764060574
203.0,0.16,36.0,1.0,0.33733990147783255,0.5808096947174974
204.0,0.16,36.0,1.0,0.33647058823529413,0.5800608487351082
205.0,0.16,36.0,1.0,0.33560975609756094,0.5793183547045276
206.0,0.16,36.0,1.0,0.33475728155339807,0.5785821303439971
207.0,0.16,36.0,1.0,0.3339130434782609,0.5778520948116922
208.0,0.16,36.0,1.0,0.33307692307692305,0.577128168673929
209.0,0.16,36.0,1.0,0.33224880382775124,0.5764102738742182
210.0,0.16,36.0,1.0,0.3314285714285714,0.5756983337031395
211.0,0.16,36.0,1.0,0.33061611374407585,0.5749922727690137
212.0,0.16,36.0,1.0,0.329811320754717,0.5742920169693437
213.0,0.16,36.0,1.0,0.3290140845070423,0.5735974934630051
214.0,0.16,36.0,1.0,0.32822429906542055,0.5729086306431599
