bulk_density_g_per_cm3,acquisition_time_s,velocity_mm_s,probe_mass_mg_instant,new_mass_mg_per_acq,mass_passed_mg_per_acq,refresh_fraction_per_acq,effective_sample_size_mg
0.6,2.6842105263157894,5.599896145825946,294.5243112740431,177.08333333333331,4427.083333333333,0.601252007236049,177.08333333333331
0.6,2.894736842105263,5.599896145825946,294.5243112740431,190.97222222222217,4774.305555555556,0.6484090274114254,190.97222222222217
0.6,3.1052631578947367,5.599896145825946,294.5243112740431,204.8611111111111,5121.527777777777,0.6955660475868017,204.8611111111111
0.6,3.3157894736842106,5.599896145825946,294.5243112740431,218.75,5468.75,0.7427230677621782,218.75
0.6,3.526315789473684,5.599896145825946,294.5243112740431,232.63888888888883,5815.972222222223,0.7898800879375545,232.63888888888883
0.6,3.7368421052631575,5.599896145825946,294.5243112740431,246.52777777777771,6163.194444444443,0.8370371081129309,246.52777777777771
0.6,3.9473684210526314,5.599896145825946,294.5243112740431,260.41666666666663,6510.416666666666,0.8841941282883073,260.41666666666663
0.6,4.157894736842105,5.599896145825946,294.5243112740431,274.30555555555554,6857.63888888889,0.9313511484636837,274.30555555555554
0.6,4.368421052631579,5.599896145825946,294.5243112740431,288.1944444444444,7204.86111111111,0.9785081686390601,288.1944444444444
0.6,4.578947368421052,5.599896145825946,294.5243112740431,294.5243112740431,7552.083333333333,1.0,294.5243112740431
0.6,4.789473684210526,5.599896145825946,294.5243112740431,294.5243112740431,7899.305555555555,1.0,294.5243112740431
0.6,5.0,5.599896145825946,294.5243112740431,294.5243112740431,8246.52777777778,1.0,294.5243112740431
