bulk_density_g_per_cm3,measurement_depth_cm,measurement_depth_mm,velocity_mm_s,advance_dz_mm_per_acq,probe_mass_mg_instant,swept_increment_mass_mg,unique_exposed_mass_mg,effective_sample_size_mg
0.5,0.05,0.5,6.719875374991137,6.719875374991137,122.71846303085131,41.99922109369461,164.7176841245459,164.7176841245459
0.5,0.06,0.6,6.719875374991137,6.719875374991137,147.26215563702155,50.39906531243352,197.66122094945507,197.66122094945507
0.5,0.07,0.7000000000000001,6.719875374991137,6.719875374991137,171.80584824319183,58.79890953117245,230.6047577743643,230.6047577743643
0.5,0.08,0.8,6.719875374991137,6.719875374991137,196.34954084936206,67.19875374991138,263.54829459927345,263.54829459927345
0.5,0.09,0.8999999999999999,6.719875374991137,6.719875374991137,220.89323345553234,75.59859796865028,296.49183142418264,296.49183142418264
0.5,0.1,1.0,6.719875374991137,6.719875374991137,245.43692606170262,83.99844218738922,329.4353682490918,329.4353682490918
0.5,0.11,1.1,6.719875374991137,6.719875374991137,269.9806186678729,92.39828640612812,362.378905074001,362.378905074001
0.5,0.12,1.2,6.719875374991137,6.719875374991137,294.5243112740431,100.79813062486704,395.32244189891014,395.32244189891014
0.5,0.13,1.3,6.719875374991137,6.719875374991137,319.0680038802134,109.19797484360598,428.2659787238194,428.2659787238194
0.5,0.14,1.4000000000000001,6.719875374991137,6.719875374991137,343.61169648638366,117.5978190623449,461.2095155487286,461.2095155487286
0.5,0.15,1.5,6.719875374991137,6.719875374991137,368.1553890925539,125.9976632810838,494.1530523736377,494.1530523736377
0.5,0.16,1.6,6.719875374991137,6.719875374991137,392.6990816987241,134.39750749982275,527.0965891985469,527.0965891985469
0.5,0.17,1.7000000000000002,6.719875374991137,6.719875374991137,417.24277430489445,142.79735171856169,560.0401260234561,560.0401260234561
0.5,0.18,1.7999999999999998,6.719875374991137,6.719875374991137,441.7864669110647,151.19719593730056,592.9836628483653,592.9836628483653
0.5,0.19,1.9,6.719875374991137,6.719875374991137,466.33015951723496,159.5970401560395,625.9271996732745,625.9271996732745
0.5,0.2,2.0,6.719875374991137,6.719875374991137,490.87385212340524,167.99688437477843,658.8707364981836,658.8707364981836
0.6,0.01,0.1,5.599896145825946,5.599896145825946,29.45243112740431,8.39984421873892,37.85227534614324,37.85227534614324
0.6,0.02,0.2,5.599896145825946,5.599896145825946,58.90486225480862,16.79968843747784,75.70455069228647,75.70455069228647
0.6,0.03,0.3,5.599896145825946,5.599896145825946,88.35729338221293,25.199532656216757,113.55682603842969,113.55682603842969
0.6,0.04,0.4,5.599896145825946,5.599896145825946,117.80972450961724,33.59937687495568,151.40910138457295,151.40910138457295
0.6,0.05,0.5,5.599896145825946,5.599896145825946,147.26215563702155,41.999221093694594,189.26137673071617,189.26137673071617
0.6,0.06,0.6,5.599896145825946,5.599896145825946,176.71458676442586,50.399065312433514,227.11365207685938,227.11365207685938
0.6,0.07,0.7000000000000001,5.599896145825946,5.599896145825946,206.1670178918302,58.798909531172434,264.9659274230026,264.9659274230026
0.6,0.08,0.8,5.599896145825946,5.599896145825946,235.61944901923448,67.19875374991136,302.8182027691459,302.8182027691459
0.6,0.09,0.8999999999999999,5.599896145825946,5.599896145825946,265.0718801466388,75.59859796865027,340.67047811528903,340.67047811528903
0.6,0.1,1.0,5.599896145825946,5.599896145825946,294.5243112740431,83.99844218738919,378.52275346143233,378.52275346143233
0.6,0.11,1.1,5.599896145825946,5.599896145825946,323.97674240144744,92.39828640612811,416.3750288075756,416.3750288075756
0.6,0.12,1.2,5.599896145825946,5.599896145825946,353.4291735288517,100.79813062486703,454.22730415371876,454.22730415371876
0.6,0.13,1.3,5.599896145825946,5.599896145825946,382.88160465625606,109.19797484360595,492.079579499862,492.079579499862
0.6,0.14,1.4000000000000001,5.599896145825946,5.599896145825946,412.3340357836604,117.59781906234487,529.9318548460052,529.9318548460052
0.6,0.15,1.5,5.599896145825946,5.599896145825946,441.7864669110647,125.99766328108377,567.7841301921485,567.7841301921485
