setup,pipe_diameter_cm,pipe_area_cm2,probe_window_diameter_cm,probe_window_area_cm2,measurement_depth_cm,bulk_density_g_per_cm3,throughput_kg,throughput_time_s,mass_flow_g_s,vol_flow_cm3_s,velocity_source,velocity_cm_s,velocity_mm_s,acquisition_time_s,axial_length_model,axial_sampling_length_cm,advance_dz_cm_per_acq,refresh_fraction_per_acq,probe_volume_cm3,probe_mass_g_instant,probe_mass_mg_instant,new_mass_g_per_acq,new_mass_mg_per_acq,mass_passed_g_per_acq,mass_passed_mg_per_acq,mass_time_exposure_g_s,mass_time_exposure_mg_s,effective_sample_size_mg
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,31.052631578947366,3600.0,8.625730994152047,28.75243664717349,derived_from_throughput,0.3660873934667378,3.6608739346673778,0.1,window_diameter,0.5,0.03660873934667378,0.07321747869334756,0.019634954084936207,0.005890486225480862,5.890486225480862,0.0004312865497076023,0.43128654970760233,0.0021564327485380117,2.1564327485380117,0.0005890486225480862,0.5890486225480862,0.43128654970760233
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,31.052631578947366,3600.0,8.625730994152047,28.75243664717349,derived_from_throughput,0.3660873934667378,3.6608739346673778,0.35789473684210527,window_diameter,0.5,0.13102075134599037,0.26204150269198073,0.019634954084936207,0.005890486225480862,5.890486225480862,0.0015435518621114187,1.5435518621114188,0.007717759310557094,7.717759310557094,0.002108174017540519,2.108174017540519,1.5435518621114188
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,31.052631578947366,3600.0,8.625730994152047,28.75243664717349,derived_from_throughput,0.3660873934667378,3.6608739346673778,0.6157894736842106,window_diameter,0.5,0.22543276334530696,0.4508655266906139,0.019634954084936207,0.005890486225480862,5.890486225480862,0.002655817174515235,2.655817174515235,0.013279085872576177,13.279085872576177,0.003627299412532952,3.627299412532952,2.655817174515235
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,31.052631578947366,3600.0,8.625730994152047,28.75243664717349,derived_from_throughput,0.3660873934667378,3.6608739346673778,0.8736842105263158,window_diameter,0.5,0.3198447753446236,0.6396895506892472,0.019634954084936207,0.005890486225480862,5.890486225480862,0.003768082486919052,3.768082486919052,0.01884041243459526,18.840412434595258,0.005146424807525384,5.146424807525384,3.768082486919052
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,31.052631578947366,3600.0,8.625730994152047,28.75243664717349,derived_from_throughput,0.3660873934667378,3.6608739346673778,1.1315789473684212,window_diameter,0.5,0.4142567873439402,0.8285135746878804,0.019634954084936207,0.005890486225480862,5.890486225480862,0.004880347799322869,4.88034779932287,0.024401738996614346,24.401738996614345,0.006665550202517819,6.665550202517819,4.88034779932287
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,31.052631578947366,3600.0,8.625730994152047,28.75243664717349,derived_from_throughput,0.3660873934667378,3.6608739346673778,1.3894736842105266,window_diameter,0.5,0.5086687993432568,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.02996306555863343,29.96306555863343,0.008184675597510252,8.184675597510251,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,31.052631578947366,3600.0,8.625730994152047,28.75243664717349,derived_from_throughput,0.3660873934667378,3.6608739346673778,1.6473684210526318,window_diameter,0.5,0.6030808113425734,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.03552439212065251,35.52439212065251,0.009703800992502684,9.703800992502684,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,31.052631578947366,3600.0,8.625730994152047,28.75243664717349,derived_from_throughput,0.3660873934667378,3.6608739346673778,1.905263157894737,window_diameter,0.5,0.69749282334189,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.04108571868267159,41.08571868267159,0.011222926387495117,11.222926387495116,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,31.052631578947366,3600.0,8.625730994152047,28.75243664717349,derived_from_throughput,0.3660873934667378,3.6608739346673778,2.1631578947368424,window_diameter,0.5,0.7919048353412066,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.046647045244690676,46.64704524469067,0.01274205178248755,12.74205178248755,5.890486225480862
E,10.0,78.53981633974483,0.5,0.19634954084936207,0.1,0.3,31.052631578947366,3600.0,8.625730994152047,28.75243664717349,derived_from_throughput,0.3660873934667378,3.6608739346673778,2.421052631578948,window_diameter,0.5,0.8863168473405233,1.0,0.019634954084936207,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862,0.052208371806709765,52.20837180670976,0.014261177177479984,14.261177177479984,5.890486225480862
