setup,penetration_depth_mm,penetration_depth_cm,penetration_depth_m,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,illuminated_area_cm2,sampled_volume_m3,sampled_volume_mm3,sampled_volume_cm3,sampled_mass_kg,sampled_mass_g,sampled_mass_mg,effective_sample_size_g,effective_sample_size_mg
A,0.4,0.04,0.0004,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,3.926990816987242e-06,0.003926990816987242,3.926990816987242,0.003926990816987242,3.926990816987242
A,0.4,0.04,0.0004,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,7.853981633974483e-09,7.853981633974483,0.007853981633974483,4.7123889803846896e-06,0.00471238898038469,4.71238898038469,0.00471238898038469,4.71238898038469
A,0.5,0.05,0.0005,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,3.926990816987242e-06,0.003926990816987242,3.926990816987242,0.003926990816987242,3.926990816987242
A,0.5,0.05,0.0005,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,4.908738521234052e-06,0.004908738521234052,4.908738521234052,0.004908738521234052,4.908738521234052
A,0.5,0.05,0.0005,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,9.817477042468104e-09,9.817477042468104,0.009817477042468103,5.8904862254808615e-06,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862
A,0.6,0.06,0.0006,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.1780972450961723e-08,11.780972450961723,0.011780972450961723,4.7123889803846896e-06,0.00471238898038469,4.71238898038469,0.00471238898038469,4.71238898038469
A,0.6,0.06,0.0006,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.1780972450961723e-08,11.780972450961723,0.011780972450961723,5.8904862254808615e-06,0.005890486225480862,5.890486225480862,0.005890486225480862,5.890486225480862
A,0.6,0.06,0.0006,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.1780972450961723e-08,11.780972450961723,0.011780972450961723,7.0685834705770335e-06,0.007068583470577034,7.068583470577034,0.007068583470577034,7.068583470577034
A,0.7000000000000001,0.07,0.0007000000000000001,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.3744467859455346e-08,13.744467859455346,0.013744467859455347,5.49778714378214e-06,0.0054977871437821395,5.49778714378214,0.0054977871437821395,5.49778714378214
A,0.7000000000000001,0.07,0.0007000000000000001,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.3744467859455346e-08,13.744467859455346,0.013744467859455347,6.872233929727673e-06,0.0068722339297276735,6.872233929727673,0.0068722339297276735,6.872233929727673
A,0.7000000000000001,0.07,0.0007000000000000001,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.3744467859455346e-08,13.744467859455346,0.013744467859455347,8.246680715673208e-06,0.008246680715673207,8.246680715673207,0.008246680715673207,8.246680715673207
A,0.8,0.08,0.0008,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.5707963267948965e-08,15.707963267948966,0.015707963267948967,6.2831853071795875e-06,0.0062831853071795875,6.283185307179587,0.0062831853071795875,6.283185307179587
A,0.8,0.08,0.0008,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.5707963267948965e-08,15.707963267948966,0.015707963267948967,7.853981633974484e-06,0.007853981633974483,7.853981633974484,0.007853981633974483,7.853981633974484
A,0.8,0.08,0.0008,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.5707963267948965e-08,15.707963267948966,0.015707963267948967,9.424777960769379e-06,0.00942477796076938,9.42477796076938,0.00942477796076938,9.42477796076938
A,0.9,0.09,0.0009000000000000001,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.7671458676442587e-08,17.671458676442587,0.017671458676442587,7.068583470577035e-06,0.0070685834705770355,7.068583470577035,0.0070685834705770355,7.068583470577035
A,0.9,0.09,0.0009000000000000001,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.7671458676442587e-08,17.671458676442587,0.017671458676442587,8.835729338221293e-06,0.008835729338221293,8.835729338221293,0.008835729338221293,8.835729338221293
A,0.9,0.09,0.0009000000000000001,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.7671458676442587e-08,17.671458676442587,0.017671458676442587,1.0602875205865552e-05,0.010602875205865551,10.602875205865551,0.010602875205865551,10.602875205865551
A,1.0,0.1,0.001,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,7.853981633974484e-06,0.007853981633974483,7.853981633974484,0.007853981633974483,7.853981633974484
A,1.0,0.1,0.001,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,9.817477042468103e-06,0.009817477042468103,9.817477042468104,0.009817477042468103,9.817477042468104
A,1.0,0.1,0.001,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,1.9634954084936208e-08,19.634954084936208,0.019634954084936207,1.1780972450961723e-05,0.011780972450961723,11.780972450961723,0.011780972450961723,11.780972450961723
A,1.1,0.11000000000000001,0.0011,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.159844949342983e-08,21.59844949342983,0.02159844949342983,8.639379797371934e-06,0.008639379797371933,8.639379797371934,0.008639379797371933,8.639379797371934
A,1.1,0.11000000000000001,0.0011,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.159844949342983e-08,21.59844949342983,0.02159844949342983,1.0799224746714916e-05,0.010799224746714915,10.799224746714915,0.010799224746714915,10.799224746714915
A,1.1,0.11000000000000001,0.0011,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.159844949342983e-08,21.59844949342983,0.02159844949342983,1.2959069696057898e-05,0.012959069696057897,12.959069696057897,0.012959069696057897,12.959069696057897
A,1.2000000000000002,0.12000000000000002,0.0012000000000000001,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.356194490192345e-08,23.56194490192345,0.023561944901923454,9.424777960769383e-06,0.009424777960769383,9.424777960769383,0.009424777960769383,9.424777960769383
A,1.2000000000000002,0.12000000000000002,0.0012000000000000001,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.356194490192345e-08,23.56194490192345,0.023561944901923454,1.1780972450961726e-05,0.011780972450961727,11.780972450961727,0.011780972450961727,11.780972450961727
A,1.2000000000000002,0.12000000000000002,0.0012000000000000001,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.356194490192345e-08,23.56194490192345,0.023561944901923454,1.413716694115407e-05,0.014137166941154071,14.13716694115407,0.014137166941154071,14.13716694115407
A,1.3000000000000003,0.13000000000000003,0.0013000000000000004,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.5525440310417078e-08,25.52544031041708,0.025525440310417074,1.0210176124166831e-05,0.010210176124166831,10.21017612416683,0.010210176124166831,10.21017612416683
A,1.3000000000000003,0.13000000000000003,0.0013000000000000004,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.5525440310417078e-08,25.52544031041708,0.025525440310417074,1.2762720155208537e-05,0.012762720155208537,12.762720155208537,0.012762720155208537,12.762720155208537
A,1.3000000000000003,0.13000000000000003,0.0013000000000000004,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.5525440310417078e-08,25.52544031041708,0.025525440310417074,1.5315264186250243e-05,0.015315264186250243,15.315264186250243,0.015315264186250243,15.315264186250243
A,1.4000000000000001,0.14,0.0014000000000000002,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.7488935718910692e-08,27.488935718910692,0.027488935718910694,1.099557428756428e-05,0.010995574287564279,10.99557428756428,0.010995574287564279,10.99557428756428
A,1.4000000000000001,0.14,0.0014000000000000002,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.7488935718910692e-08,27.488935718910692,0.027488935718910694,1.3744467859455346e-05,0.013744467859455347,13.744467859455346,0.013744467859455347,13.744467859455346
A,1.4000000000000001,0.14,0.0014000000000000002,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.7488935718910692e-08,27.488935718910692,0.027488935718910694,1.6493361431346416e-05,0.016493361431346415,16.493361431346415,0.016493361431346415,16.493361431346415
A,1.5000000000000002,0.15000000000000002,0.0015000000000000002,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.9452431127404316e-08,29.452431127404317,0.029452431127404314,1.1780972450961726e-05,0.011780972450961727,11.780972450961727,0.011780972450961727,11.780972450961727
A,1.5000000000000002,0.15000000000000002,0.0015000000000000002,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.9452431127404316e-08,29.452431127404317,0.029452431127404314,1.4726215563702157e-05,0.014726215563702157,14.726215563702157,0.014726215563702157,14.726215563702157
A,1.5000000000000002,0.15000000000000002,0.0015000000000000002,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,2.9452431127404316e-08,29.452431127404317,0.029452431127404314,1.7671458676442585e-05,0.017671458676442587,17.671458676442587,0.017671458676442587,17.671458676442587
A,1.6,0.16,0.0016,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.141592653589793e-08,31.41592653589793,0.031415926535897934,1.2566370614359175e-05,0.012566370614359175,12.566370614359174,0.012566370614359175,12.566370614359174
A,1.6,0.16,0.0016,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.141592653589793e-08,31.41592653589793,0.031415926535897934,1.5707963267948967e-05,0.015707963267948967,15.707963267948967,0.015707963267948967,15.707963267948967
A,1.6,0.16,0.0016,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.141592653589793e-08,31.41592653589793,0.031415926535897934,1.8849555921538758e-05,0.01884955592153876,18.84955592153876,0.01884955592153876,18.84955592153876
A,1.7000000000000002,0.17,0.0017000000000000001,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.337942194439155e-08,33.37942194439155,0.03337942194439156,1.3351768777756624e-05,0.013351768777756623,13.351768777756623,0.013351768777756623,13.351768777756623
A,1.7000000000000002,0.17,0.0017000000000000001,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.337942194439155e-08,33.37942194439155,0.03337942194439156,1.6689710972195778e-05,0.01668971097219578,16.68971097219578,0.01668971097219578,16.68971097219578
A,1.7000000000000002,0.17,0.0017000000000000001,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.337942194439155e-08,33.37942194439155,0.03337942194439156,2.0027653166634934e-05,0.020027653166634934,20.027653166634934,0.020027653166634934,20.027653166634934
A,1.8000000000000003,0.18000000000000002,0.0018000000000000004,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.534291735288518e-08,35.34291735288518,0.035342917352885174,1.413716694115407e-05,0.014137166941154071,14.13716694115407,0.014137166941154071,14.13716694115407
A,1.8000000000000003,0.18000000000000002,0.0018000000000000004,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.534291735288518e-08,35.34291735288518,0.035342917352885174,1.7671458676442585e-05,0.017671458676442587,17.671458676442587,0.017671458676442587,17.671458676442587
A,1.8000000000000003,0.18000000000000002,0.0018000000000000004,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.534291735288518e-08,35.34291735288518,0.035342917352885174,2.1205750411731104e-05,0.021205750411731103,21.205750411731103,0.021205750411731103,21.205750411731103
A,1.9000000000000001,0.19,0.0019000000000000002,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.7306412761378794e-08,37.306412761378795,0.03730641276137879,1.4922565104551517e-05,0.014922565104551517,14.922565104551516,0.014922565104551517,14.922565104551516
A,1.9000000000000001,0.19,0.0019000000000000002,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.7306412761378794e-08,37.306412761378795,0.03730641276137879,1.8653206380689396e-05,0.018653206380689395,18.653206380689394,0.018653206380689395,18.653206380689394
A,1.9000000000000001,0.19,0.0019000000000000002,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.7306412761378794e-08,37.306412761378795,0.03730641276137879,2.2383847656827273e-05,0.022383847656827275,22.383847656827275,0.022383847656827275,22.383847656827275
A,2.0,0.2,0.002,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.9269908169872415e-08,39.269908169872416,0.039269908169872414,1.5707963267948967e-05,0.015707963267948967,15.707963267948967,0.015707963267948967,15.707963267948967
A,2.0,0.2,0.002,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.9269908169872415e-08,39.269908169872416,0.039269908169872414,1.9634954084936207e-05,0.019634954084936207,19.634954084936208,0.019634954084936207,19.634954084936208
A,2.0,0.2,0.002,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,3.9269908169872415e-08,39.269908169872416,0.039269908169872414,2.3561944901923446e-05,0.023561944901923447,23.561944901923447,0.023561944901923447,23.561944901923447
