bulk_density_g_per_cm3,acquisition_time_s,velocity_mm_s,probe_mass_mg_instant,new_mass_mg_per_acq,mass_passed_mg_per_acq,time_weighted_contribution_proxy_mg_s,refresh_fraction_per_acq,effective_sample_size_mg
0.5,1.0,6.719875374991137,245.43692606170262,65.97222222222224,1649.3055555555557,245.43692606170262,0.2687950149996455,65.97222222222224
0.5,1.2105263157894737,6.719875374991137,245.43692606170262,79.86111111111111,1996.5277777777776,297.1078578641663,0.32538343921009716,79.86111111111111
0.5,1.4210526315789473,6.719875374991137,245.43692606170262,93.75,2343.75,348.77878966663,0.3819718634205488,93.75
0.5,1.631578947368421,6.719875374991137,245.43692606170262,107.6388888888889,2690.972222222222,400.44972146909373,0.43856028763100047,107.6388888888889
0.5,1.8421052631578947,6.719875374991137,245.43692606170262,121.5277777777778,3038.1944444444443,452.12065327155744,0.4951487118414522,121.5277777777778
0.5,2.052631578947368,6.719875374991137,245.43692606170262,135.41666666666666,3385.416666666666,503.7915850740211,0.5517371360519038,135.41666666666666
0.5,2.263157894736842,6.719875374991137,245.43692606170262,149.30555555555557,3732.6388888888887,555.4625168764849,0.6083255602623555,149.30555555555557
0.5,2.473684210526316,6.719875374991137,245.43692606170262,163.19444444444449,4079.8611111111118,607.1334486789486,0.6649139844728073,163.19444444444449
0.5,2.6842105263157894,6.719875374991137,245.43692606170262,177.08333333333334,4427.083333333333,658.8043804814122,0.7215024086832589,177.08333333333334
0.5,2.894736842105263,6.719875374991137,245.43692606170262,190.9722222222222,4774.305555555556,710.475312283876,0.7780908328937104,190.9722222222222
0.5,3.1052631578947367,6.719875374991137,245.43692606170262,204.86111111111111,5121.527777777777,762.1462440863397,0.8346792571041621,204.86111111111111
0.5,3.3157894736842106,6.719875374991137,245.43692606170262,218.75000000000003,5468.75,813.8171758888034,0.891267681314614,218.75000000000003
0.5,3.526315789473684,6.719875374991137,245.43692606170262,232.63888888888889,5815.972222222223,865.488107691267,0.9478561055250655,232.63888888888889
