setup,pipe_diameter_cm,pipe_area_cm2,total_rig_height_cm,maintained_fill_fraction,filled_height_cm,probe_height_from_bottom_cm,probe_submergence_cm,probe_is_covered,coverage_factor,nir_spot_diameter_cm,nir_spot_area_cm2,measurement_depth_cm,bulk_density_g_per_cm3,throughput_kg,throughput_time_s,mass_flow_g_s,vol_flow_cm3_s,velocity_source,velocity_cm_s,velocity_mm_s,acquisition_time_s,axial_length_model,axial_sampling_length_cm,advance_dz_cm_per_acq,raw_refresh_fraction_per_acq,refresh_fraction_per_acq,probe_volume_cm3,probe_mass_g_instant,probe_mass_mg_instant,new_mass_g_per_acq,new_mass_mg_per_acq,mass_passed_g_per_acq,mass_passed_mg_per_acq,mass_time_exposure_g_s,mass_time_exposure_mg_s,effective_sample_size_mg,sweep_type
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,47.89473684210526,3600.0,13.304093567251462,44.346978557504876,derived_from_throughput,0.5646432678893752,5.646432678893753,3.7368421052631575,spot_diameter,2.5,2.109982737902402,0.8439930951609608,0.8439930951609608,0.49087385212340523,0.14726215563702155,147.26215563702155,0.12428824253616495,124.28824253616496,3.107206063404124,3107.206063404124,0.5502954236962384,550.2954236962385,124.28824253616496,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,47.89473684210526,3600.0,13.304093567251462,44.346978557504876,derived_from_throughput,0.5646432678893752,5.646432678893753,3.9473684210526314,spot_diameter,2.5,2.2288550048264812,0.8915420019305925,0.8915420019305925,0.49087385212340523,0.14726215563702155,147.26215563702155,0.13129039704524467,131.29039704524467,3.282259926131117,3282.259926131117,0.5812979827777166,581.2979827777166,131.29039704524467,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,47.89473684210526,3600.0,13.304093567251462,44.346978557504876,derived_from_throughput,0.5646432678893752,5.646432678893753,4.157894736842105,spot_diameter,2.5,2.34772727175056,0.939090908700224,0.939090908700224,0.49087385212340523,0.14726215563702155,147.26215563702155,0.13829255155432438,138.29255155432438,3.45731378885811,3457.31378885811,0.6123005418591949,612.3005418591949,138.29255155432438,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,47.89473684210526,3600.0,13.304093567251462,44.346978557504876,derived_from_throughput,0.5646432678893752,5.646432678893753,4.368421052631579,spot_diameter,2.5,2.466599538674639,0.9866398154698557,0.9866398154698557,0.49087385212340523,0.14726215563702155,147.26215563702155,0.1452947060634041,145.2947060634041,3.632367651585103,3632.367651585103,0.6433031009406731,643.3031009406731,145.2947060634041,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,47.89473684210526,3600.0,13.304093567251462,44.346978557504876,derived_from_throughput,0.5646432678893752,5.646432678893753,4.578947368421052,spot_diameter,2.5,2.585471805598718,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,3.8074215143120957,3807.421514312096,0.6743056600221513,674.3056600221513,147.26215563702155,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,47.89473684210526,3600.0,13.304093567251462,44.346978557504876,derived_from_throughput,0.5646432678893752,5.646432678893753,4.789473684210526,spot_diameter,2.5,2.704344072522797,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,3.9824753770390884,3982.4753770390885,0.7053082191036294,705.3082191036294,147.26215563702155,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,47.89473684210526,3600.0,13.304093567251462,44.346978557504876,derived_from_throughput,0.5646432678893752,5.646432678893753,5.0,spot_diameter,2.5,2.8232163394468763,1.0,1.0,0.49087385212340523,0.14726215563702155,147.26215563702155,0.14726215563702155,147.26215563702155,4.157529239766082,4157.529239766082,0.7363107781851077,736.3107781851077,147.26215563702155,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,1.0,spot_diameter,2.5,0.620487107570742,0.2481948430282968,0.2481948430282968,0.49087385212340523,0.14726215563702155,147.26215563702155,0.03654970760233918,36.54970760233918,0.9137426900584795,913.7426900584795,0.14726215563702155,147.26215563702155,36.54970760233918,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,1.2105263157894737,spot_diameter,2.5,0.7511159723224772,0.3004463889289909,0.3004463889289909,0.49087385212340523,0.14726215563702155,147.26215563702155,0.04424438288704217,44.24438288704217,1.106109572176054,1106.1095721760541,0.17826471471849978,178.2647147184998,44.24438288704217,throughput_acquisition
E,10.0,78.53981633974483,80.0,0.5,40.0,20.0,20.0,True,1.0,2.5,4.908738521234052,0.1,0.3,52.63157894736842,3600.0,14.619883040935672,48.732943469785575,derived_from_throughput,0.620487107570742,6.20487107570742,1.4210526315789473,spot_diameter,2.5,0.8817448370742123,0.3526979348296849,0.3526979348296849,0.49087385212340523,0.14726215563702155,147.26215563702155,0.05193905817174514,51.939058171745145,1.2984764542936287,1298.4764542936286,0.209267273799978,209.267273799978,51.939058171745145,throughput_acquisition
