setup,pipe_diameter_cm,pipe_area_cm2,nir_spot_diameter_cm,nir_spot_area_cm2,spot_area_cm2,measurement_depth_cm,measurement_depth_mm,bulk_density_g_per_cm3,bulk_density_label,throughput_kg,throughput_time_s,mass_flow_g_s,vol_flow_cm3_s,velocity_source,velocity_cm_s,velocity_mm_s,acquisition_time_s,advance_dz_cm_per_acq,advance_dz_mm_per_acq,advance_to_spot_diameter_ratio,swept_increment_area_cm2,unique_exposed_area_cm2,probe_volume_cm3,probe_volume_cm3_instant,swept_increment_volume_cm3,unique_exposed_volume_cm3,probe_mass_g_instant,probe_mass_mg_instant,swept_increment_mass_g,swept_increment_mass_mg,unique_exposed_mass_g,unique_exposed_mass_mg,effective_sample_size_mg,mass_passed_g_per_acq,mass_passed_mg_per_acq,mass_time_exposure_g_s,mass_time_exposure_mg_s,time_weighted_contribution_proxy_g_s,time_weighted_contribution_proxy_mg_s,effective_sample_size_basis,sweep_type
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,19.473684210526315,3600.0,5.409356725146199,10.818713450292398,derived_from_throughput,0.13774813788070472,1.3774813788070472,3.9473684210526314,0.5437426495290976,5.437426495290976,0.21749705981163903,1.359356623822744,6.268095145056796,0.49087385212340523,0.49087385212340523,0.1359356623822744,0.6268095145056796,0.24543692606170261,245.43692606170262,0.0679678311911372,67.9678311911372,0.3134047572528398,313.4047572528398,313.4047572528398,1.3345452446906738,1334.5452446906738,0.9688299712961945,968.8299712961946,0.9688299712961945,968.8299712961946,unique_exposed_swept_capsule_mass,throughput_acquisition_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,19.473684210526315,3600.0,5.409356725146199,10.818713450292398,derived_from_throughput,0.13774813788070472,1.3774813788070472,4.157894736842105,0.5727422575039828,5.727422575039828,0.2290969030015931,1.431855643759957,6.340594164994009,0.49087385212340523,0.49087385212340523,0.1431855643759957,0.6340594164994009,0.24543692606170261,245.43692606170262,0.07159278218799785,71.59278218799784,0.31702970824970045,317.02970824970043,317.02970824970043,1.4057209910741766,1405.7209910741765,1.0205009030986583,1020.5009030986582,1.0205009030986583,1020.5009030986582,unique_exposed_swept_capsule_mass,throughput_acquisition_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,19.473684210526315,3600.0,5.409356725146199,10.818713450292398,derived_from_throughput,0.13774813788070472,1.3774813788070472,4.368421052631579,0.601741865478868,6.017418654788679,0.24069674619154718,1.5043546636971699,6.413093184931222,0.49087385212340523,0.49087385212340523,0.150435466369717,0.6413093184931222,0.24543692606170261,245.43692606170262,0.0752177331848585,75.2177331848585,0.3206546592465611,320.6546592465611,320.6546592465611,1.476896737457679,1476.896737457679,1.072171834901122,1072.171834901122,1.072171834901122,1072.171834901122,unique_exposed_swept_capsule_mass,throughput_acquisition_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,19.473684210526315,3600.0,5.409356725146199,10.818713450292398,derived_from_throughput,0.13774813788070472,1.3774813788070472,4.578947368421052,0.6307414734537532,6.307414734537532,0.2522965893815013,1.576853683634383,6.485592204868435,0.49087385212340523,0.49087385212340523,0.1576853683634383,0.6485592204868436,0.24543692606170261,245.43692606170262,0.07884268418171915,78.84268418171915,0.3242796102434218,324.27961024342176,324.27961024342176,1.5480724838411815,1548.0724838411816,1.1238427667035855,1123.8427667035855,1.1238427667035855,1123.8427667035855,unique_exposed_swept_capsule_mass,throughput_acquisition_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,19.473684210526315,3600.0,5.409356725146199,10.818713450292398,derived_from_throughput,0.13774813788070472,1.3774813788070472,4.789473684210526,0.6597410814286383,6.597410814286383,0.26389643257145534,1.6493527035715958,6.558091224805648,0.49087385212340523,0.49087385212340523,0.1649352703571596,0.6558091224805649,0.24543692606170261,245.43692606170262,0.0824676351785798,82.4676351785798,0.32790456124028244,327.9045612402824,327.9045612402824,1.619248230224684,1619.248230224684,1.1755136985060493,1175.5136985060492,1.1755136985060493,1175.5136985060492,unique_exposed_swept_capsule_mass,throughput_acquisition_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,19.473684210526315,3600.0,5.409356725146199,10.818713450292398,derived_from_throughput,0.13774813788070472,1.3774813788070472,5.0,0.6887406894035236,6.887406894035236,0.27549627576140945,1.721851723508809,6.630590244742861,0.49087385212340523,0.49087385212340523,0.17218517235088093,0.6630590244742862,0.24543692606170261,245.43692606170262,0.08609258617544047,86.09258617544046,0.3315295122371431,331.5295122371431,331.5295122371431,1.6904239766081868,1690.4239766081869,1.227184630308513,1227.184630308513,1.227184630308513,1227.184630308513,unique_exposed_swept_capsule_mass,throughput_acquisition_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,24.210526315789473,3600.0,6.7251461988304095,13.450292397660819,derived_from_throughput,0.1712544416895248,1.712544416895248,1.0,0.1712544416895248,1.712544416895248,0.06850177667580992,0.428136104223812,5.336874625457864,0.49087385212340523,0.49087385212340523,0.0428136104223812,0.5336874625457865,0.24543692606170261,245.43692606170262,0.0214068052111906,21.4068052111906,0.26684373127289324,266.84373127289325,266.84373127289325,0.4203216374269006,420.3216374269006,0.24543692606170261,245.43692606170262,0.24543692606170261,245.43692606170262,unique_exposed_swept_capsule_mass,throughput_acquisition_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,24.210526315789473,3600.0,6.7251461988304095,13.450292397660819,derived_from_throughput,0.1712544416895248,1.712544416895248,1.2105263157894737,0.20730800836100371,2.073080083610037,0.08292320334440148,0.5182700209025093,5.427008542136561,0.49087385212340523,0.49087385212340523,0.05182700209025093,0.5427008542136561,0.24543692606170261,245.43692606170262,0.025913501045125464,25.913501045125464,0.27135042710682805,271.3504271068281,271.3504271068281,0.5088104032009849,508.8104032009849,0.2971078578641663,297.1078578641663,0.2971078578641663,297.1078578641663,unique_exposed_swept_capsule_mass,throughput_acquisition_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,24.210526315789473,3600.0,6.7251461988304095,13.450292397660819,derived_from_throughput,0.1712544416895248,1.712544416895248,1.4210526315789473,0.24336157503248262,2.4336157503248264,0.09734463001299305,0.6084039375812066,5.517142458815258,0.49087385212340523,0.49087385212340523,0.06084039375812066,0.5517142458815258,0.24543692606170261,245.43692606170262,0.03042019687906033,30.42019687906033,0.2758571229407629,275.8571229407629,275.8571229407629,0.5972991689750693,597.2991689750693,0.34877878966663,348.77878966663,0.34877878966663,348.77878966663,unique_exposed_swept_capsule_mass,throughput_acquisition_density
E,10.0,78.53981633974483,2.5,4.908738521234052,4.908738521234052,0.1,1.0,0.5,0.5 g/cm^3,24.210526315789473,3600.0,6.7251461988304095,13.450292397660819,derived_from_throughput,0.1712544416895248,1.712544416895248,1.631578947368421,0.27941514170396153,2.7941514170396156,0.11176605668158461,0.6985378542599039,5.607276375493956,0.49087385212340523,0.49087385212340523,0.0698537854259904,0.5607276375493956,0.24543692606170261,245.43692606170262,0.0349268927129952,34.9268927129952,0.2803638187746978,280.3638187746978,280.3638187746978,0.6857879347491536,685.7879347491536,0.40044972146909374,400.44972146909373,0.40044972146909374,400.44972146909373,unique_exposed_swept_capsule_mass,throughput_acquisition_density
