setup,penetration_depth_mm,penetration_depth_m,penetration_depth_cm,bulk_density_g_cm3,bulk_density_g_per_cm3,bulk_density_kg_m3,probe_diameter_mm,probe_area_m2,illuminated_area_cm2,static_sampled_volume_m3,static_sampled_volume_mm3,spoon_sample_volume_cm3,static_sampled_mass_kg,static_sampled_mass_g,static_sampled_mass_mg,n_subscans,integration_time_ms,acquisition_time_s,total_spectral_acquisition_time_s,spoon_interval_s,flip_frequency_hz,spoons_contributing,effective_sampled_mass_kg,effective_sample_size_g,effective_sampled_mass_mg,effective_sample_size_mg
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,3.926990816987242e-06,0.003926990816987242,3.926990816987242,3.926990816987242
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,500,10.0,5.0,5.0,4.0,0.25,1.25,2.945243112740431e-06,0.0029452431127404313,2.9452431127404313,2.9452431127404313
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.4,0.4,400.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,500,10.0,5.0,5.0,5.0,0.2,1.0,2.3561944901923448e-06,0.002356194490192345,2.356194490192345,2.356194490192345
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.945243112740431e-06,0.0029452431127404313,2.9452431127404313,500,10.0,5.0,5.0,1.0,1.0,5.0,1.4726215563702157e-05,0.014726215563702157,14.726215563702157,14.726215563702157
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.945243112740431e-06,0.0029452431127404313,2.9452431127404313,500,10.0,5.0,5.0,2.0,0.5,2.5,7.363107781851078e-06,0.0073631077818510785,7.363107781851078,7.363107781851078
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.945243112740431e-06,0.0029452431127404313,2.9452431127404313,500,10.0,5.0,5.0,3.0,0.3333333333333333,1.6666666666666667,4.9087385212340526e-06,0.004908738521234053,4.908738521234053,4.908738521234053
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.945243112740431e-06,0.0029452431127404313,2.9452431127404313,500,10.0,5.0,5.0,4.0,0.25,1.25,3.681553890925539e-06,0.0036815538909255392,3.681553890925539,3.681553890925539
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.5,0.5,500.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,2.945243112740431e-06,0.0029452431127404313,2.9452431127404313,500,10.0,5.0,5.0,5.0,0.2,1.0,2.945243112740431e-06,0.0029452431127404313,2.9452431127404313,2.9452431127404313
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,3.5342917352885176e-06,0.0035342917352885177,3.5342917352885177,500,10.0,5.0,5.0,1.0,1.0,5.0,1.767145867644259e-05,0.01767145867644259,17.67145867644259,17.67145867644259
B,0.30000000000000004,0.00030000000000000003,0.030000000000000006,0.6,0.6,600.0,5.0,1.9634954084936207e-05,0.19634954084936207,5.8904862254808625e-09,5.8904862254808625,0.0058904862254808635,3.5342917352885176e-06,0.0035342917352885177,3.5342917352885177,500,10.0,5.0,5.0,2.0,0.5,2.5,8.835729338221294e-06,0.008835729338221295,8.835729338221295,8.835729338221295
